N.data,max.segs,case,package,seconds_median,seconds_min,seconds_max,seconds_timings,computed.ends,valid.ends,loss,computed.N
32,16,worst,ruptures,0.0084628,0.0080906,0.0093814,5,5|8|11|14|17|20|23|26|29|32,5|8|11|14|17|20|23|26|29|32,95.2408020784,10
64,32,flat,binsegRcpp.list,0.0015297,0.0015138,0.0023824,5,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,13.4933190933774,26
64,32,flat,binsegRcpp.multiset,0.0022036,0.0014768,0.0024437,5,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,13.4933190933774,26
64,32,flat,blockcpd,0.01792,0.0130696,0.023031,5,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,3|6|9|12|14|17|19|21|23|25|27|29|31|34|37|40|42|44|46|49|51|54|56|58|61|64,13.4933190933774,26
64,32,flat,changepoint,0.0007631,0.0005749,0.0010851,5,0|0|0|0|0|0|0|0|3|6|9|12|15|17|21|23|25|27|29|31|34|37|40|44|46|49|51|54|57|59|61|64,3|6|9|12|15|17|21|23|25|27|29|31|34|37|40|44|46|49|51|54|57|59|61|64,,32
64,32,flat,ruptures,0.0257173,0.0228626,0.029096,5,3|6|9|12|15|18|23|28|31|34|37|40|43|46|51|54|57|61|64,3|6|9|12|15|18|23|28|31|34|37|40|43|46|51|54|57|61|64,49.9312810609897,19
64,32,best,binsegRcpp.list,0.0015602,0.0014972,0.0024472,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,best,binsegRcpp.multiset,0.0025119,0.0014964,0.0026424,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,best,blockcpd,0.018973,0.0107308,0.0234852,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,best,changepoint,0.0014615,0.001393,0.0015138,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,,32
64,32,best,ruptures,0.0224951,0.0181568,0.0239386,5,4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,4|8|12|16|20|24|28|32|36|40|44|48|52|56|60|64,97.9526597671538,16
64,32,worst,binsegRcpp.list,0.0015608,0.0014092,0.0021667,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,worst,binsegRcpp.multiset,0.0016022,0.001529,0.0020249,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,worst,blockcpd,0.0430363,0.0358165,0.0448047,5,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,2|4|6|8|10|12|14|16|18|20|22|24|26|28|30|32|34|36|38|40|42|44|46|48|50|52|54|56|58|60|62|64,46.4506465692626,32
64,32,worst,changepoint,0.0006311,0.0005228,0.000703,5,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|64,64,,32
64,32,worst,ruptures,0.0307821,0.0289781,0.0466561,5,3|6|9|12|15|18|21|24|27|30|33|36|40|43|46|49|52|55|58|61|64,3|6|9|12|15|18|21|24|27|30|33|36|40|43|46|49|52|55|58|61|64,190.453242150691,21
128,64,flat,binsegRcpp.list,0.0016,0.0015791,0.0023816,5,,,25.8560229219972,54
128,64,flat,binsegRcpp.multiset,0.0015926,0.0013536,0.0020258,5,,,25.8560229219972,54
128,64,flat,blockcpd,0.0620389,0.0502072,0.0854977,5,,,25.8560229219972,54
128,64,flat,changepoint,0.0011831,0.0011254,0.001776,5,,,,64
128,64,flat,ruptures,0.0933456,0.0798555,0.1073907,5,,,84.3934623250015,36
128,64,best,binsegRcpp.list,0.0013474,0.0012629,0.0024056,5,,,92.9012931385251,64
128,64,best,binsegRcpp.multiset,0.001289,0.0012598,0.0015626,5,,,92.9012931385251,64
128,64,best,blockcpd,0.0265724,0.0255073,0.0301729,5,,,92.9012931385251,64
128,64,best,changepoint,0.0012328,0.0012027,0.0013518,5,,,,64
128,64,best,ruptures,0.0471939,0.0455001,0.0586472,5,,,195.905319534308,32
128,64,worst,binsegRcpp.list,0.0017658,0.0015781,0.0019061,5,,,92.9012931385251,64
128,64,worst,binsegRcpp.multiset,0.001604,0.0015533,0.0017437,5,,,92.9012931385251,64
128,64,worst,blockcpd,0.1590348,0.152335,0.1698087,5,,,92.9012931385251,64
128,64,worst,changepoint,0.0007817,0.0006511,0.0008607,5,,,,64
128,64,worst,ruptures,0.1228558,0.11457,0.1353723,5,,,380.552539208688,42
256,128,flat,binsegRcpp.list,0.0017409,0.0014864,0.0020232,5,,,93.2666965965872,111
256,128,flat,binsegRcpp.multiset,0.0014618,0.001405,0.0017065,5,,,93.2666965965872,111
256,128,flat,blockcpd,0.1015189,0.0953931,0.1176812,5,,,93.2666965965872,111
256,128,flat,changepoint,0.0028067,0.0026973,0.0028643,5,,,,128
256,128,flat,ruptures,0.1776169,0.1732875,0.1850229,5,,,204.826203161593,73
256,128,best,binsegRcpp.list,0.0014861,0.0013791,0.002267,5,,,185.80258627705,128
256,128,best,binsegRcpp.multiset,0.0016096,0.0014662,0.0017831,5,,,185.80258627705,128
256,128,best,blockcpd,0.0688445,0.059768,0.0798541,5,,,185.80258627705,128
256,128,best,changepoint,0.0024273,0.002385,0.0028672,5,,,,128
256,128,best,ruptures,0.127866,0.1218525,0.1728504,5,,,391.810639068615,64
256,128,worst,binsegRcpp.list,0.003028,0.0027712,0.004134,5,,,185.80258627705,128
256,128,worst,binsegRcpp.multiset,0.0031572,0.0025699,0.0035079,5,,,185.80258627705,128
256,128,worst,blockcpd,0.7487121,0.7038063,0.8018288,5,,,185.80258627705,128
256,128,worst,changepoint,0.0014152,0.001381,0.0022362,5,,,,128
256,128,worst,ruptures,0.5268535,0.4954308,0.5468977,5,,,761.076716411267,85
512,256,flat,binsegRcpp.list,0.0023176,0.0021221,0.0034013,5,,,209.521137382375,223
512,256,flat,binsegRcpp.multiset,0.0023031,0.0021587,0.0024605,5,,,209.521137382375,223
512,256,flat,blockcpd,0.400732,0.3681535,0.4272385,5,,,209.521137382375,223
512,256,flat,changepoint,0.0124795,0.0105431,0.0127836,5,,,,256
512,256,flat,ruptures,0.644286,0.612001,0.6787396,5,,,430.92407300444,145
512,256,best,binsegRcpp.list,0.0019534,0.0019388,0.0026988,5,,,371.6051725541,256
512,256,best,binsegRcpp.multiset,0.0019448,0.001897,0.0029297,5,,,371.6051725541,256
512,256,best,blockcpd,0.1771379,0.1541163,0.196853,5,,,371.6051725541,256
512,256,best,changepoint,0.0094443,0.0088814,0.0119726,5,,,,256
512,256,best,ruptures,0.3349444,0.303436,0.3529363,5,,,783.62127813723,128
512,256,worst,binsegRcpp.list,0.007635,0.0063149,0.0083517,5,,,371.6051725541,256
512,256,worst,binsegRcpp.multiset,0.0081572,0.0063904,0.0090504,5,,,371.6051725541,256
512,256,worst,blockcpd,3.0139667,2.9202596,3.2754184,5,,,371.6051725541,256
512,256,worst,changepoint,0.0047619,0.0045311,0.0064398,5,,,,256
