profile.id,chromosome,N.data,max.segments,sum.splits,max.depth
103,21,42,10,157,6
103,21,42,N.data,249,11
103,22,82,10,317,5
103,22,82,N.data,610,13
103,3,197,10,1028,6
103,3,197,N.data,1875,19
103,4,147,10,679,5
103,4,147,N.data,1413,18
103,5,187,10,825,6
103,5,187,N.data,1762,19
103,6,159,10,686,5
103,6,159,N.data,1472,19
103,7,129,10,587,6
103,7,129,N.data,1104,14
103,8,122,10,623,7
103,8,122,N.data,1105,20
103,9,118,10,531,6
103,9,118,N.data,961,14
103,X,96,10,274,6
103,X,96,N.data,866,18
103,Y,23,10,93,5
103,Y,23,N.data,103,7
104,1,478,10,1975,8
104,1,478,N.data,5043,20
104,10,138,10,598,7
104,10,138,N.data,1126,15
104,11,155,10,585,5
104,11,155,N.data,1212,15
104,12,201,10,850,6
104,12,201,N.data,1852,21
104,13,93,10,467,5
104,13,93,N.data,792,15
104,14,92,10,576,7
104,14,92,N.data,868,17
104,15,88,10,496,7
104,15,88,N.data,720,14
104,16,88,10,453,7
104,16,88,N.data,658,14
104,17,168,10,779,5
104,17,168,N.data,1493,17
104,18,78,10,327,6
104,18,78,N.data,501,9
104,19,56,10,271,6
104,19,56,N.data,372,13
104,2,268,10,1116,5
104,2,268,N.data,2664,20
104,20,94,10,383,6
104,20,94,N.data,670,13
104,21,43,10,243,6
104,21,43,N.data,308,11
104,22,79,10,354,4
104,22,79,N.data,666,19
104,3,195,10,863,4
104,3,195,N.data,1666,17
104,4,154,10,830,5
104,4,154,N.data,1614,21
104,5,188,10,802,5
104,5,188,N.data,1463,14
104,6,168,10,700,5
104,6,168,N.data,1368,16
104,7,140,10,604,7
104,7,140,N.data,1159,16
104,8,130,10,588,7
104,8,130,N.data,1072,15
104,9,117,10,512,6
104,9,117,N.data,966,15
104,X,108,10,570,5
104,X,108,N.data,915,15
104,Y,23,10,73,4
104,Y,23,N.data,98,8
105,1,530,10,2703,5
105,1,530,N.data,7300,25
105,10,194,10,894,5
